0,1,2
400318,"[-122.439499, 37.729942]",A-38477
403131,"[-122.403008, 37.752502]",A-38478
401486,"[-122.423836, 37.731358]",A-38706
403131,"[-122.403008, 37.752502]",A-38708
401277,"[-122.407852, 37.740299]",A-38729
401277,"[-122.405586, 37.743958]",A-38951
401358,"[-122.401115, 37.723717]",A-39415
401277,"[-122.407852, 37.740299]",A-39470
401277,"[-122.407852, 37.740299]",A-39630
400231,"[-122.395859, 37.767666]",A-40066
401277,"[-122.405586, 37.743958]",A-40075
400231,"[-122.395859, 37.767666]",A-40200
401277,"[-122.405586, 37.743958]",A-40392
400746,"[-122.448204, 37.721279]",A-40411
400231,"[-122.395859, 37.767666]",A-40670
400322,"[-122.407005, 37.735107]",A-40770
400318,"[-122.430733, 37.73217]",A-41026
400156,"[-122.447716, 37.7229]",A-41106
400318,"[-122.439499, 37.729942]",A-41144
401277,"[-122.407852, 37.740299]",A-41150
416144,"[-122.46965, 37.793243]",A-41170
406871,"[-122.41613, 37.769669]",A-41180
400231,"[-122.392799, 37.762817]",A-41216
400231,"[-122.392799, 37.762817]",A-41281
401018,"[-122.414909, 37.732292]",A-41526
404569,"[-122.395508, 37.71019]",A-41555
401277,"[-122.407997, 37.73864]",A-41564
403131,"[-122.403008, 37.752502]",A-41695
403131,"[-122.403008, 37.752502]",A-42131
425246,"[-122.412216, 37.733112]",A-42309
401516,"[-122.405861, 37.761818]",A-42442
401516,"[-122.405861, 37.761818]",A-42628
403132,"[-122.403641, 37.749294]",A-42827
401277,"[-122.40786, 37.740299]",A-314352
425246,"[-122.414513, 37.732208]",A-314583
402815,"[-122.377731, 37.798252]",A-314715
401486,"[-122.423836, 37.731361]",A-314800
401486,"[-122.423836, 37.731361]",A-314997
401516,"[-122.405861, 37.761818]",A-315214
425246,"[-122.412216, 37.733112]",A-315261
401358,"[-122.401253, 37.724064]",A-315325
400231,"[-122.395859, 37.767666]",A-315442
400318,"[-122.44001, 37.729919]",A-315455
401357,"[-122.401474, 37.724007]",A-315788
401018,"[-122.414909, 37.732292]",A-316232
401486,"[-122.423836, 37.731361]",A-316240
400318,"[-122.439507, 37.729954]",A-316249
401358,"[-122.401115, 37.723717]",A-316446
403131,"[-122.403008, 37.752502]",A-316452
401357,"[-122.401474, 37.724007]",A-316585
403132,"[-122.402832, 37.753132]",A-316588
425246,"[-122.412216, 37.733112]",A-336339
404648,"[-122.448471, 37.719143]",A-336645
401516,"[-122.405861, 37.761818]",A-336662
400397,"[-122.44603, 37.726311]",A-337540
401409,"[-122.403419, 37.756863]",A-337560
422197,"[-122.453529, 37.712086]",A-337700
401277,"[-122.40786, 37.740299]",A-337777
403131,"[-122.40387, 37.749233]",A-337798
402814,"[-122.379807, 37.79631]",A-337811
400318,"[-122.439507, 37.729954]",A-337938
401277,"[-122.405594, 37.743958]",A-338089
401277,"[-122.40786, 37.740299]",A-338096
401516,"[-122.405151, 37.763069]",A-338213
400746,"[-122.447884, 37.722908]",A-338262
403131,"[-122.403008, 37.752502]",A-338450
401277,"[-122.405594, 37.743958]",A-338664
403131,"[-122.403008, 37.752487]",A-339043
401358,"[-122.401115, 37.723717]",A-339207
401277,"[-122.405594, 37.743958]",A-339553
401486,"[-122.423836, 37.731361]",A-340027
401516,"[-122.405861, 37.761818]",A-340038
401018,"[-122.414909, 37.732292]",A-340192
400318,"[-122.439507, 37.729954]",A-340281
401277,"[-122.407997, 37.73864]",A-340392
400746,"[-122.448204, 37.721279]",A-340479
401516,"[-122.405861, 37.761818]",A-340738
401486,"[-122.423836, 37.731361]",A-340786
403131,"[-122.403008, 37.752502]",A-340881
403131,"[-122.403008, 37.752502]",A-340915
400231,"[-122.392799, 37.762817]",A-341216
400231,"[-122.395859, 37.767666]",A-341430
403132,"[-122.40361, 37.749382]",A-341554
403131,"[-122.403816, 37.749405]",A-341565
401277,"[-122.405594, 37.743958]",A-341609
401018,"[-122.414909, 37.732292]",A-341788
401277,"[-122.405594, 37.743958]",A-341795
402814,"[-122.387558, 37.789082]",A-341926
400318,"[-122.430733, 37.73217]",A-342028
401018,"[-122.414909, 37.732292]",A-342279
400156,"[-122.447693, 37.722946]",A-342330
401516,"[-122.405861, 37.761818]",A-342435
403132,"[-122.402832, 37.753132]",A-342566
401018,"[-122.414909, 37.732292]",A-342633
400397,"[-122.44603, 37.726311]",A-342782
406871,"[-122.41613, 37.769672]",A-342963
400255,"[-122.404655, 37.73172]",A-396681
403132,"[-122.403587, 37.749439]",A-396699
400231,"[-122.395859, 37.767666]",A-396746
401277,"[-122.40786, 37.740299]",A-396821
425246,"[-122.414513, 37.732208]",A-397157
401516,"[-122.405861, 37.761814]",A-397214
401486,"[-122.423836, 37.731361]",A-397333
401486,"[-122.423836, 37.731361]",A-397337
401516,"[-122.405861, 37.761818]",A-397471
403131,"[-122.403008, 37.752502]",A-397836
425246,"[-122.414513, 37.732208]",A-397898
403131,"[-122.403793, 37.74947]",A-397953
400746,"[-122.448204, 37.721279]",A-398463
425246,"[-122.412216, 37.733112]",A-398546
400231,"[-122.392799, 37.762817]",A-398616
401277,"[-122.40786, 37.740299]",A-398896
403132,"[-122.403557, 37.749542]",A-399241
401516,"[-122.405861, 37.761818]",A-399446
404647,"[-122.454399, 37.711666]",A-399720
401516,"[-122.40506, 37.763351]",A-399770
404648,"[-122.448471, 37.719143]",A-399950
403131,"[-122.403008, 37.752502]",A-400105
403131,"[-122.403824, 37.749371]",A-400387
401357,"[-122.401474, 37.724007]",A-400447
403131,"[-122.403008, 37.752502]",A-400585
403131,"[-122.403015, 37.752441]",A-400668
403131,"[-122.403854, 37.749268]",A-400727
401486,"[-122.423836, 37.731361]",A-400797
403131,"[-122.403008, 37.752502]",A-400803
400318,"[-122.439507, 37.729954]",A-400840
406871,"[-122.41613, 37.769672]",A-400964
400156,"[-122.447716, 37.722893]",A-401060
401358,"[-122.401115, 37.723717]",A-401135
401470,"[-122.433372, 37.731949]",A-401553
403131,"[-122.403008, 37.752502]",A-401607
403132,"[-122.402824, 37.75293]",A-436636
425246,"[-122.414513, 37.732208]",A-436682
401516,"[-122.405861, 37.761818]",A-436987
400746,"[-122.447807, 37.723194]",A-437211
406871,"[-122.41613, 37.769672]",A-437432
401516,"[-122.405998, 37.761574]",A-437712
402815,"[-122.377731, 37.798252]",A-437787
401357,"[-122.401474, 37.724007]",A-438096
416144,"[-122.46965, 37.793243]",A-438190
403131,"[-122.403008, 37.752502]",A-438223
401516,"[-122.405861, 37.761818]",A-454076
401018,"[-122.414909, 37.732292]",A-454404
403131,"[-122.40377, 37.749523]",A-454636
403131,"[-122.403763, 37.749557]",A-454673
401409,"[-122.403435, 37.756878]",A-454700
425281,"[-122.423416, 37.731571]",A-454863
400255,"[-122.404655, 37.73172]",A-455000
401277,"[-122.405594, 37.743958]",A-455153
401277,"[-122.405594, 37.743958]",A-455412
403131,"[-122.403008, 37.752502]",A-455474
401277,"[-122.405594, 37.743958]",A-455477
401357,"[-122.401474, 37.724007]",A-455502
403131,"[-122.403008, 37.752502]",A-455624
400231,"[-122.400932, 37.774834]",A-455825
403131,"[-122.403778, 37.749519]",A-456178
403131,"[-122.403008, 37.752502]",A-456276
401277,"[-122.405594, 37.743958]",A-456302
401516,"[-122.405861, 37.761818]",A-456434
401277,"[-122.405594, 37.743958]",A-456444
401516,"[-122.405861, 37.761818]",A-456546
401516,"[-122.405861, 37.761818]",A-456616
402815,"[-122.377106, 37.798828]",A-456688
403131,"[-122.403008, 37.752502]",A-456919
401277,"[-122.405594, 37.743958]",A-457278
400746,"[-122.448204, 37.721279]",A-457344
403131,"[-122.403793, 37.749454]",A-457885
403132,"[-122.402832, 37.753132]",A-491507
401277,"[-122.405594, 37.743958]",A-491766
401516,"[-122.405861, 37.761818]",A-491767
401358,"[-122.401115, 37.723717]",A-491926
400156,"[-122.447662, 37.723038]",A-491933
401516,"[-122.405861, 37.761818]",A-491987
401277,"[-122.40786, 37.740299]",A-492302
403131,"[-122.403008, 37.752502]",A-492457
401486,"[-122.423836, 37.731361]",A-492473
400231,"[-122.392799, 37.762817]",A-492618
404648,"[-122.448471, 37.719143]",A-492889
401357,"[-122.402786, 37.727306]",A-492895
400231,"[-122.392799, 37.762817]",A-493182
404648,"[-122.448471, 37.719143]",A-493211
401516,"[-122.406006, 37.759403]",A-493238
401277,"[-122.405594, 37.743958]",A-493341
401516,"[-122.405861, 37.761818]",A-493342
403131,"[-122.403008, 37.752502]",A-493358
400231,"[-122.395859, 37.767666]",A-493480
425246,"[-122.414513, 37.732208]",A-493633
401277,"[-122.405106, 37.74482]",A-514959
401516,"[-122.405869, 37.761822]",A-514976
401516,"[-122.405869, 37.761818]",A-516301
403131,"[-122.40303, 37.752411]",A-518653
406871,"[-122.416374, 37.769711]",A-518700
403131,"[-122.40303, 37.752502]",A-521969
404647,"[-122.453796, 37.712128]",A-526257
400231,"[-122.396408, 37.767719]",A-529674
403132,"[-122.402916, 37.751526]",A-531573
403131,"[-122.40303, 37.752502]",A-534848
401277,"[-122.407845, 37.740299]",A-537836
403131,"[-122.40303, 37.752411]",A-539554
402814,"[-122.388016, 37.788525]",A-541142
404648,"[-122.448479, 37.719143]",A-542745
401018,"[-122.414909, 37.732288]",A-544910
401516,"[-122.405869, 37.761818]",A-546383
403131,"[-122.403259, 37.751148]",A-547986
400746,"[-122.447723, 37.72348]",A-549708
403131,"[-122.40303, 37.752502]",A-549718
401277,"[-122.404633, 37.746078]",A-549733
401018,"[-122.414909, 37.732288]",A-554222
402817,"[-122.367599, 37.807743]",A-556028
403131,"[-122.403328, 37.750923]",A-557759
401277,"[-122.407845, 37.740299]",A-557780
401516,"[-122.405869, 37.761818]",A-560629
403131,"[-122.40303, 37.752502]",A-562329
403131,"[-122.40303, 37.752502]",A-562342
401410,"[-122.403336, 37.756073]",A-562410
401820,"[-122.416878, 37.769611]",A-565773
400255,"[-122.404877, 37.732162]",A-567432
400397,"[-122.446014, 37.726303]",A-569183
402816,"[-122.372238, 37.803383]",A-569204
401516,"[-122.405869, 37.761818]",A-569240
403131,"[-122.40303, 37.752502]",A-572121
401277,"[-122.404846, 37.745445]",A-572148
403132,"[-122.402786, 37.752632]",A-574220
404648,"[-122.448479, 37.719143]",A-579743
401357,"[-122.401497, 37.724003]",A-579772
403132,"[-122.402802, 37.753136]",A-580357
400397,"[-122.447243, 37.724533]",A-580369
416144,"[-122.469635, 37.793243]",A-580956
400156,"[-122.448044, 37.72089]",A-583062
400318,"[-122.436111, 37.731232]",A-583072
402816,"[-122.368881, 37.806541]",A-584839
401277,"[-122.405525, 37.744068]",A-584844
403131,"[-122.403183, 37.751396]",A-584895
404648,"[-122.448349, 37.7202]",A-586529
400231,"[-122.392723, 37.762787]",A-586555
403131,"[-122.40303, 37.752502]",A-586576
401820,"[-122.416878, 37.769611]",A-591427
400318,"[-122.434578, 37.731617]",A-594705
401357,"[-122.402756, 37.727318]",A-594754
402814,"[-122.387444, 37.789001]",A-597975
400231,"[-122.392723, 37.762787]",A-601069
401018,"[-122.414909, 37.732288]",A-607347
401357,"[-122.402756, 37.727318]",A-607364
403131,"[-122.40303, 37.752502]",A-607369
404648,"[-122.448479, 37.719143]",A-609750
400318,"[-122.430733, 37.732166]",A-609751
403132,"[-122.402802, 37.753136]",A-619316
401277,"[-122.407845, 37.740299]",A-623187
401277,"[-122.405602, 37.743961]",A-632719
401486,"[-122.423836, 37.731361]",A-638637
403131,"[-122.40303, 37.752502]",A-638690
404648,"[-122.448479, 37.719143]",A-639276
401819,"[-122.419296, 37.770081]",A-639284
403131,"[-122.403587, 37.750107]",A-642879
401516,"[-122.405869, 37.761818]",A-642911
403131,"[-122.403122, 37.754173]",A-644592
403131,"[-122.40303, 37.752502]",A-644606
401820,"[-122.416878, 37.769611]",A-644612
401516,"[-122.405869, 37.761818]",A-644636
403131,"[-122.40303, 37.752502]",A-644655
400746,"[-122.447891, 37.722977]",A-644658
400255,"[-122.404999, 37.732376]",A-646438
401277,"[-122.405602, 37.743961]",A-651648
401516,"[-122.405228, 37.762676]",A-651666
403131,"[-122.40303, 37.752502]",A-653658
403131,"[-122.40303, 37.752502]",A-659418
401277,"[-122.405014, 37.745014]",A-659434
401516,"[-122.405869, 37.761818]",A-659439
400397,"[-122.446419, 37.725822]",A-666464
401357,"[-122.401497, 37.724003]",A-672375
400318,"[-122.434578, 37.731617]",A-672393
403131,"[-122.403091, 37.751762]",A-675599
401357,"[-122.401497, 37.724003]",A-679547
400318,"[-122.434578, 37.731617]",A-681233
400397,"[-122.447304, 37.724419]",A-681607
401357,"[-122.402756, 37.727318]",A-690431
401357,"[-122.402756, 37.727318]",A-691761
403132,"[-122.402802, 37.753136]",A-693186
403131,"[-122.40303, 37.752502]",A-694740
401357,"[-122.402756, 37.727318]",A-695304
401018,"[-122.417152, 37.732025]",A-697106
403131,"[-122.40303, 37.752502]",A-703640
400318,"[-122.439507, 37.729946]",A-707170
401820,"[-122.416878, 37.769611]",A-708607
403131,"[-122.40303, 37.752502]",A-709996
401516,"[-122.405869, 37.761818]",A-711670
402814,"[-122.38401, 37.792236]",A-714220
403132,"[-122.402802, 37.753136]",A-721013
401516,"[-122.405869, 37.761822]",A-726885
401357,"[-122.401497, 37.724003]",A-729144
401516,"[-122.405869, 37.761818]",A-729209
401820,"[-122.416878, 37.769611]",A-737472
401277,"[-122.404991, 37.74506]",A-737477
403132,"[-122.402802, 37.753136]",A-738065
403131,"[-122.40303, 37.752502]",A-738078
406871,"[-122.416855, 37.769764]",A-739852
401516,"[-122.405869, 37.761818]",A-744165
402815,"[-122.377769, 37.798157]",A-745881
404569,"[-122.395515, 37.71019]",A-748368
422197,"[-122.455711, 37.710819]",A-749812
401410,"[-122.403404, 37.756378]",A-752621
403131,"[-122.40303, 37.752502]",A-754112
400231,"[-122.400948, 37.774788]",A-755567
425246,"[-122.41449, 37.73222]",A-755593
400231,"[-122.396248, 37.767597]",A-756914
401470,"[-122.433098, 37.732021]",A-756916
401357,"[-122.401497, 37.724003]",A-759995
401018,"[-122.414909, 37.732288]",A-762646
401516,"[-122.405716, 37.76207]",A-762701
400318,"[-122.437355, 37.730656]",A-763983
401486,"[-122.423836, 37.731361]",A-764008
400318,"[-122.438232, 37.730568]",A-765348
401516,"[-122.405228, 37.762676]",A-771619
401516,"[-122.405869, 37.761818]",A-773982
400156,"[-122.448082, 37.720604]",A-775375
401516,"[-122.405869, 37.761818]",A-775395
401516,"[-122.405869, 37.761818]",A-777592
401516,"[-122.405777, 37.761971]",A-780398
401486,"[-122.423836, 37.731361]",A-781852
401516,"[-122.405869, 37.761818]",A-787187
401277,"[-122.405602, 37.743961]",A-787609
403131,"[-122.40303, 37.752502]",A-789079
403131,"[-122.40303, 37.752502]",A-792274
402815,"[-122.377769, 37.798157]",A-797855
401357,"[-122.402756, 37.727318]",A-801453
403131,"[-122.40303, 37.752502]",A-804186
401018,"[-122.414909, 37.732288]",A-805581
402815,"[-122.377769, 37.798157]",A-817209
400318,"[-122.434578, 37.731617]",A-817229
400318,"[-122.434578, 37.731617]",A-817237
401357,"[-122.401093, 37.723049]",A-819401
403131,"[-122.403069, 37.751923]",A-819407
401820,"[-122.416878, 37.769611]",A-821498
400318,"[-122.439507, 37.729946]",A-826447
403131,"[-122.40303, 37.752502]",A-833077
401277,"[-122.405602, 37.743961]",A-837932
403132,"[-122.402809, 37.752098]",A-837933
401277,"[-122.405602, 37.743961]",A-837952
403131,"[-122.40303, 37.752502]",A-840804
